method,top1_accuracy,margin_median,margin_mean,n_runs,n_unknown_points,n_possible_combinations,requested_sampling_iterations,used_sampling_iterations,sampling_mode,sample_size,scenario,model_type,output_dir
centroid_distance,1.0,2.1476362938336298,2.1177600726302943,20,20,20,5000,20,exhaustive_unique,1,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
dihs,1.0,0.3354987895440322,0.3303581165400115,20,20,20,5000,20,exhaustive_unique,1,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
mahalanobis_distance,1.0,11.377971236833002,11.203375020061966,20,20,20,5000,20,exhaustive_unique,1,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
single_cut_coassociation,1.0,0.0166666666666666,0.0129166666666666,20,20,20,5000,20,exhaustive_unique,1,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
centroid_distance,1.0,2.1911298318191874,2.177253891378909,190,20,190,5000,190,exhaustive_unique,2,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
dihs,1.0,0.406337553569593,0.3966014089510569,190,20,190,5000,190,exhaustive_unique,2,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
mahalanobis_distance,1.0,11.66825980544138,11.594929996299848,190,20,190,5000,190,exhaustive_unique,2,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
single_cut_coassociation,1.0,0.0125,0.0128070175438596,190,20,190,5000,190,exhaustive_unique,2,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
centroid_distance,1.0,2.221180128694228,2.206634955190284,1140,20,1140,5000,1140,exhaustive_unique,3,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
dihs,1.0,0.4428745429511713,0.4367809042543274,1140,20,1140,5000,1140,exhaustive_unique,3,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
mahalanobis_distance,1.0,11.888280531369588,11.757570417949063,1140,20,1140,5000,1140,exhaustive_unique,3,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
single_cut_coassociation,1.0,0.0138888888888888,0.0127071150097465,1140,20,1140,5000,1140,exhaustive_unique,3,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
centroid_distance,1.0,2.2356505164422398,2.223775282734992,4845,20,4845,5000,4845,exhaustive_unique,4,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
dihs,1.0,0.4730391231054014,0.4677018355354698,4845,20,4845,5000,4845,exhaustive_unique,4,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
mahalanobis_distance,1.0,11.986124692798722,11.848816554340424,4845,20,4845,5000,4845,exhaustive_unique,4,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
single_cut_coassociation,1.0,0.0125,0.0126143790849673,4845,20,4845,5000,4845,exhaustive_unique,4,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
centroid_distance,1.0,2.245477563834135,2.2352435356231144,5000,20,15504,5000,5000,random_unique,5,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
dihs,1.0,0.4971129477064483,0.4921924480460289,5000,20,15504,5000,5000,random_unique,5,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
mahalanobis_distance,1.0,12.020260326802642,11.910128040601151,5000,20,15504,5000,5000,random_unique,5,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
single_cut_coassociation,1.0,0.0133333333333333,0.012543,5000,20,15504,5000,5000,random_unique,5,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
centroid_distance,1.0,2.2545287298464087,2.2444502060070284,5000,20,38760,5000,5000,random_unique,6,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
dihs,1.0,0.515354819014078,0.511460718994045,5000,20,38760,5000,5000,random_unique,6,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
mahalanobis_distance,1.0,12.056748820423437,11.961045551867334,5000,20,38760,5000,5000,random_unique,6,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
single_cut_coassociation,1.0,0.0125,0.0124672222222222,5000,20,38760,5000,5000,random_unique,6,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
centroid_distance,1.0,2.261600838034674,2.2521936520627155,5000,20,77520,5000,5000,random_unique,7,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
dihs,1.0,0.5317308610431828,0.5289816045486375,5000,20,77520,5000,5000,random_unique,7,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
mahalanobis_distance,1.0,12.086526882024463,11.997404418050568,5000,20,77520,5000,5000,random_unique,7,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
single_cut_coassociation,1.0,0.0119047619047619,0.0124016666666666,5000,20,77520,5000,5000,random_unique,7,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
centroid_distance,1.0,2.265758755741756,2.258193256567817,5000,20,125970,5000,5000,random_unique,8,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
dihs,1.0,0.5443689561729079,0.5425987056904501,5000,20,125970,5000,5000,random_unique,8,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
mahalanobis_distance,1.0,12.108739124960325,12.035913848486118,5000,20,125970,5000,5000,random_unique,8,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
single_cut_coassociation,1.0,0.0125,0.0122583333333333,5000,20,125970,5000,5000,random_unique,8,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
centroid_distance,1.0,2.271598475676577,2.264093491554437,5000,20,167960,5000,5000,random_unique,9,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
dihs,1.0,0.5553313291534496,0.5556147484652354,5000,20,167960,5000,5000,random_unique,9,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
mahalanobis_distance,1.0,12.129488163526144,12.062214696200869,5000,20,167960,5000,5000,random_unique,9,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
single_cut_coassociation,1.0,0.012037037037037,0.0122329629629629,5000,20,167960,5000,5000,random_unique,9,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
centroid_distance,1.0,2.274266909876091,2.2679276032439075,5000,20,184756,5000,5000,random_unique,10,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
dihs,1.0,0.5667518976618615,0.5673617130579008,5000,20,184756,5000,5000,random_unique,10,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
mahalanobis_distance,1.0,12.143700877025836,12.085785104367275,5000,20,184756,5000,5000,random_unique,10,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
single_cut_coassociation,1.0,0.0125,0.0121348333333333,5000,20,184756,5000,5000,random_unique,10,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
centroid_distance,1.0,2.2787673657787133,2.272649351937734,5000,20,167960,5000,5000,random_unique,11,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
dihs,1.0,0.5785103444013491,0.578350119117046,5000,20,167960,5000,5000,random_unique,11,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
mahalanobis_distance,1.0,12.161310328229357,12.11104327032189,5000,20,167960,5000,5000,random_unique,11,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
single_cut_coassociation,1.0,0.0121212121212121,0.012065909090909,5000,20,167960,5000,5000,random_unique,11,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
centroid_distance,1.0,2.2820809769557755,2.276462722594783,5000,20,125970,5000,5000,random_unique,12,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
