feature_space,model,transform_type,neighbor_unit,dihs_depth,dihs_mean,dihs_std,n_iterations,mean_n_depths_included,mean_n_rows_included
Coupled,agglomerative,clr,AI,14,0.13939160192374098,0.020449736778192774,100,15.0,15.0
Coupled,agglomerative,clr,ERP,14,0.3762351219231117,0.029023417754895982,100,15.0,15.0
Coupled,agglomerative,clr,EV,14,0.08749490543072172,0.016396773645595112,100,15.0,15.0
Coupled,agglomerative,clr,IAVP,14,0.4009981997546951,0.03548619739770885,100,15.0,15.0
Coupled,agglomerative,clr,MV,14,0.23883413915490656,0.03039630197689062,100,15.0,15.0
Coupled,agglomerative,clr,PF,14,0.18726534799083816,0.019613568874183265,100,15.0,15.0
Coupled,agglomerative,clr,PI,14,0.06443564640119188,0.0213088030462548,100,15.0,15.0
Coupled,agglomerative,clr,RMP,14,0.5517485717566813,0.031531935211668034,100,15.0,15.0
Coupled,agglomerative,clr,TMP,14,0.3336085766619097,0.04831287755836254,100,15.0,15.0
Coupled,agglomerative,clr,VV,14,0.23844775134480553,0.039062023018567524,100,15.0,15.0
Coupled,gaussian,clr,AI,14,0.1418547875505398,0.01269548621034421,100,15.0,15.0
Coupled,gaussian,clr,ERP,14,0.38916515567633836,0.019669810602280745,100,15.0,15.0
Coupled,gaussian,clr,EV,14,0.0895534119236269,0.0004700652166005777,100,15.0,15.0
Coupled,gaussian,clr,IAVP,14,0.33650840478610056,0.04868793411264887,100,15.0,15.0
Coupled,gaussian,clr,MV,14,0.27317778122374614,0.005217470407012212,100,15.0,15.0
Coupled,gaussian,clr,PF,14,0.1730593623702282,0.004625478236096837,100,15.0,15.0
Coupled,gaussian,clr,PI,14,0.13837411096894564,0.002606360442641485,100,15.0,15.0
Coupled,gaussian,clr,RMP,14,0.5276622697855319,0.022918834463555332,100,15.0,15.0
Coupled,gaussian,clr,TMP,14,0.3000067210318227,0.012346725105127949,100,15.0,15.0
Coupled,gaussian,clr,VV,14,0.2344049213313825,0.026106862998152583,100,15.0,15.0
Coupled,kmeans,clr,AI,14,0.13222759207172552,0.005657530344318008,100,15.0,15.0
Coupled,kmeans,clr,ERP,14,0.377453081266856,0.016471936228114374,100,15.0,15.0
Coupled,kmeans,clr,EV,14,0.08182316363299817,0.0013808915319625757,100,15.0,15.0
Coupled,kmeans,clr,IAVP,14,0.3967877841484966,0.036291512401283955,100,15.0,15.0
Coupled,kmeans,clr,MV,14,0.30127068519416994,0.031131042371339193,100,15.0,15.0
Coupled,kmeans,clr,PF,14,0.1465372448719281,0.011410705441019712,100,15.0,15.0
Coupled,kmeans,clr,PI,14,0.03591632077859648,0.0010344379918759022,100,15.0,15.0
Coupled,kmeans,clr,RMP,14,0.5145751973974931,0.023729630664098222,100,15.0,15.0
Coupled,kmeans,clr,TMP,14,0.3144509961313508,0.020573264019873146,100,15.0,15.0
Coupled,kmeans,clr,VV,14,0.22063794205674953,0.021023792671132004,100,15.0,15.0
Major,agglomerative,clr,AI,14,0.21374639449719396,0.04521289645026154,100,15.0,15.0
Major,agglomerative,clr,ERP,14,0.4153484549273355,0.056154140732968205,100,15.0,15.0
Major,agglomerative,clr,EV,14,0.09537830416307688,0.02330806932191698,100,15.0,15.0
Major,agglomerative,clr,IAVP,14,0.3279111560151873,0.05410910657606789,100,15.0,15.0
Major,agglomerative,clr,MV,14,0.29359724772783574,0.057722630581379664,100,15.0,15.0
Major,agglomerative,clr,PF,14,0.2990073675188115,0.042971377366600276,100,15.0,15.0
Major,agglomerative,clr,PI,14,0.125876412606506,0.03421405633329715,100,15.0,15.0
Major,agglomerative,clr,RMP,14,0.5396135910726776,0.032380370023660204,100,15.0,15.0
Major,agglomerative,clr,TMP,14,0.2600423277994489,0.035688275281847474,100,15.0,15.0
Major,agglomerative,clr,VV,14,0.4189510861151554,0.04087383998818754,100,15.0,15.0
Major,gaussian,clr,AI,14,0.2457060345364179,0.009301738253559984,100,15.0,15.0
Major,gaussian,clr,ERP,14,0.47780849488751764,0.013773985622953944,100,15.0,15.0
Major,gaussian,clr,EV,14,0.12209621849427503,0.0019072060444602535,100,15.0,15.0
Major,gaussian,clr,IAVP,14,0.3258486148726047,0.018430946939591585,100,15.0,15.0
Major,gaussian,clr,MV,14,0.3295460845511646,0.010967585741574245,100,15.0,15.0
Major,gaussian,clr,PF,14,0.26067481659337227,0.016587525967995443,100,15.0,15.0
Major,gaussian,clr,PI,14,0.10265850309258255,0.02086905521074956,100,15.0,15.0
Major,gaussian,clr,RMP,14,0.5629887793776839,0.015351417090711401,100,15.0,15.0
Major,gaussian,clr,TMP,14,0.2631750978029608,0.009776724734131461,100,15.0,15.0
Major,gaussian,clr,VV,14,0.437715471723817,0.017369648852132692,100,15.0,15.0
Major,kmeans,clr,AI,14,0.22363396405617564,0.024134249461669633,100,15.0,15.0
Major,kmeans,clr,ERP,14,0.3825846098608542,0.025431697558476848,100,15.0,15.0
Major,kmeans,clr,EV,14,0.07374013617203949,0.0010401656670907492,100,15.0,15.0
Major,kmeans,clr,IAVP,14,0.3608747821293877,0.040036254545776424,100,15.0,15.0
Major,kmeans,clr,MV,14,0.3002824236367584,0.03276316629242111,100,15.0,15.0
Major,kmeans,clr,PF,14,0.3544065593655926,0.04436771328386334,100,15.0,15.0
Major,kmeans,clr,PI,14,0.12523385093505657,0.02367850940064235,100,15.0,15.0
Major,kmeans,clr,RMP,14,0.5606532783015455,0.03430291636192331,100,15.0,15.0
Major,kmeans,clr,TMP,14,0.30540899183810777,0.03150253775290516,100,15.0,15.0
Major,kmeans,clr,VV,14,0.4397689992596819,0.045333493996103355,100,15.0,15.0
Trace,agglomerative,scaled,AI,14,0.1714398705069757,0.06023978715344954,100,15.0,15.0
Trace,agglomerative,scaled,ERP,14,0.43371348271093263,0.06287022824199343,100,15.0,15.0
Trace,agglomerative,scaled,EV,14,0.10636421390261647,0.05144580310313399,100,15.0,15.0
Trace,agglomerative,scaled,IAVP,14,0.3025024062675262,0.062064859888466564,100,15.0,15.0
Trace,agglomerative,scaled,MV,14,0.1720505758906086,0.08894167736356472,100,15.0,15.0
Trace,agglomerative,scaled,PF,14,0.19348120245183303,0.049182234696357255,100,15.0,15.0
Trace,agglomerative,scaled,PI,14,0.09645336804234578,0.032487899843315855,100,15.0,15.0
Trace,agglomerative,scaled,RMP,14,0.5144206600433486,0.05735165442639587,100,15.0,15.0
Trace,agglomerative,scaled,TMP,14,0.2558538406978328,0.08703825428978267,100,15.0,15.0
Trace,agglomerative,scaled,VV,14,0.21650564732457903,0.06281155581985186,100,15.0,15.0
Trace,gaussian,scaled,AI,14,0.11261757952670702,0.0028709312153418335,100,15.0,15.0
Trace,gaussian,scaled,ERP,14,0.3929853131741683,0.023140999047664555,100,15.0,15.0
Trace,gaussian,scaled,EV,14,0.10959429771347433,0.0034269984870025022,100,15.0,15.0
Trace,gaussian,scaled,IAVP,14,0.40992304887235165,0.046090708864372304,100,15.0,15.0
Trace,gaussian,scaled,MV,14,0.24122962403965206,0.05827026500198726,100,15.0,15.0
Trace,gaussian,scaled,PF,14,0.16537880075780861,0.004044506700266565,100,15.0,15.0
Trace,gaussian,scaled,PI,14,0.11517125386502583,0.004344261906090804,100,15.0,15.0
Trace,gaussian,scaled,RMP,14,0.5275470635962681,0.025747034165318147,100,15.0,15.0
Trace,gaussian,scaled,TMP,14,0.3164914878356364,0.015048840538191388,100,15.0,15.0
Trace,gaussian,scaled,VV,14,0.19508367052676434,0.004988379480299267,100,15.0,15.0
Trace,kmeans,scaled,AI,14,0.12413470488665873,0.05247380650802795,100,15.0,15.0
Trace,kmeans,scaled,ERP,14,0.36169882172388684,0.039837993302721426,100,15.0,15.0
Trace,kmeans,scaled,EV,14,0.11665521925429348,0.049345028008102206,100,15.0,15.0
Trace,kmeans,scaled,IAVP,14,0.2342027015845231,0.03886395276545285,100,15.0,15.0
Trace,kmeans,scaled,MV,14,0.21959663594979908,0.03661555040505176,100,15.0,15.0
Trace,kmeans,scaled,PF,14,0.15089915130949483,0.03707140231449936,100,15.0,15.0
Trace,kmeans,scaled,PI,14,0.04469789916027358,0.01121607132856319,100,15.0,15.0
Trace,kmeans,scaled,RMP,14,0.4219164218702637,0.024861955436531687,100,15.0,15.0
Trace,kmeans,scaled,TMP,14,0.21063132441480983,0.025580547256344597,100,15.0,15.0
Trace,kmeans,scaled,VV,14,0.2935056233013235,0.044790308029433,100,15.0,15.0
